Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Średnia_miesięczna_temperatura_[°C],Status_pomiaru_TEMP,Średnia_miesięczna_wilgotność_względna_[%],Status_pomiaru_WLGS,Średnia_miesięczna_prędkość_wiatru_[m/s],Status_pomiaru_FWS,Średnie_miesięczne_zachmurzenie_ogólne_[oktanty],Status_pomiaru_NOS,Region
250140030,BOGATYNIA,2007,01,4.1,,.0,8,.0,8,7.0,,PL-WN
250140030,BOGATYNIA,2007,02,3.3,,.0,8,.0,8,7.1,,PL-WN
250140030,BOGATYNIA,2007,03,5.4,,.0,8,.0,8,6.7,,PL-WN
250140030,BOGATYNIA,2007,04,9.9,,.0,8,.0,8,5.6,,PL-WN
250140030,BOGATYNIA,2007,05,13.7,,.0,8,.0,8,5.9,,PL-WN
250140030,BOGATYNIA,2007,06,17.9,,.0,8,.0,8,.0,8,PL-WN
250140030,BOGATYNIA,2007,07,18.3,,.0,8,.0,8,6.3,,PL-WN
250140030,BOGATYNIA,2007,08,17.0,,.0,8,.0,8,5.8,,PL-WN
250140030,BOGATYNIA,2007,09,12.0,,.0,8,.0,8,6.8,,PL-WN
250140030,BOGATYNIA,2007,10,7.4,,.0,8,.0,8,6.8,,PL-WN
250140030,BOGATYNIA,2007,11,2.4,,.0,8,.0,8,7.1,,PL-WN
250140030,BOGATYNIA,2007,12,.2,,.0,8,.0,8,6.9,,PL-WN
250150250,PAPROTKI,2007,01,2.3,,.0,8,.0,8,6.1,,PL-SK
250150250,PAPROTKI,2007,02,.9,,.0,8,.0,8,6.4,,PL-SK
250150250,PAPROTKI,2007,03,3.4,,.0,8,.0,8,4.7,,PL-SK
250150250,PAPROTKI,2007,04,7.3,,.0,8,.0,8,2.9,,PL-SK
250150250,PAPROTKI,2007,05,12.3,,.0,8,.0,8,4.6,,PL-SK
250150250,PAPROTKI,2007,06,15.9,,.0,8,.0,8,4.9,,PL-SK
250150250,PAPROTKI,2007,07,15.9,,.0,8,.0,8,5.1,,PL-SK
250150250,PAPROTKI,2007,08,15.0,,.0,8,.0,8,4.4,,PL-SK
250150250,PAPROTKI,2007,09,9.6,,.0,8,.0,8,5.2,,PL-SK
250150250,PAPROTKI,2007,10,5.5,,.0,8,.0,8,5.7,,PL-SK
250150250,PAPROTKI,2007,11,.6,,.0,8,.0,8,7.0,,PL-SK
250150250,PAPROTKI,2007,12,-2.2,,.0,8,.0,8,6.2,,PL-SK
250200220,SIELEC,2007,01,3.3,,84.3,,.0,8,7.6,,PL-PM
250200220,SIELEC,2007,02,.7,,86.0,,.0,8,7.7,,PL-PM
250200220,SIELEC,2007,03,5.8,,76.9,,2.9,,6.9,,PL-PM
250200220,SIELEC,2007,04,9.0,,63.1,,3.1,,5.9,,PL-PM
250200220,SIELEC,2007,05,15.4,,69.0,,3.1,,6.7,,PL-PM
250200220,SIELEC,2007,06,19.1,,73.1,,2.6,,6.2,,PL-PM
250200220,SIELEC,2007,07,19.9,,69.2,,3.3,,6.4,,PL-PM
250200220,SIELEC,2007,08,18.8,,73.1,,2.2,,6.8,,PL-PM
250200220,SIELEC,2007,09,12.2,,82.0,,2.7,,7.1,,PL-PM
250200220,SIELEC,2007,10,7.0,,87.8,,2.0,,7.5,,PL-PM
250200220,SIELEC,2007,11,.6,,89.1,,3.3,,7.8,,PL-PM
250200220,SIELEC,2007,12,-1.3,,86.8,,2.0,,7.7,,PL-PM
250200230,BORUSOWA,2007,01,3.0,,.0,8,.0,8,5.7,,PL-DS
250200230,BORUSOWA,2007,02,.9,,.0,8,.0,8,6.2,,PL-DS
250200230,BORUSOWA,2007,03,6.0,,.0,8,.0,8,4.3,,PL-DS
250200230,BORUSOWA,2007,04,8.9,,.0,8,.0,8,3.2,,PL-DS
250200230,BORUSOWA,2007,05,15.6,,.0,8,.0,8,3.6,,PL-DS
250200230,BORUSOWA,2007,06,19.0,,.0,8,.0,8,3.9,,PL-DS
250200230,BORUSOWA,2007,07,20.3,,.0,8,.0,8,4.0,,PL-DS
250200230,BORUSOWA,2007,08,19.2,,.0,8,.0,8,3.9,,PL-DS
250200230,BORUSOWA,2007,09,12.4,,.0,8,.0,8,4.8,,PL-DS
250200230,BORUSOWA,2007,10,7.3,,.0,8,.0,8,5.4,,PL-DS
250200230,BORUSOWA,2007,11,.8,,.0,8,.0,8,6.4,,PL-DS
250200230,BORUSOWA,2007,12,-1.1,,.0,8,.0,8,6.5,,PL-DS
251150080,GRABIK,2007,01,4.4,,.0,8,.0,8,5.7,,PL-OP
251150080,GRABIK,2007,02,2.4,,.0,8,.0,8,5.6,,PL-OP
251150080,GRABIK,2007,03,6.0,,.0,8,.0,8,3.9,,PL-OP
251150080,GRABIK,2007,04,10.7,,.0,8,.0,8,2.0,,PL-OP
251150080,GRABIK,2007,05,15.4,,.0,8,.0,8,3.9,,PL-OP
251150080,GRABIK,2007,06,19.0,,.0,8,.0,8,4.1,,PL-OP
251150080,GRABIK,2007,07,18.4,,.0,8,.0,8,5.1,,PL-OP
251150080,GRABIK,2007,08,17.8,,.0,8,.0,8,4.0,,PL-OP
251150080,GRABIK,2007,09,12.8,,.0,8,.0,8,4.9,,PL-OP
251150080,GRABIK,2007,10,7.8,,.0,8,.0,8,4.9,,PL-OP
251150080,GRABIK,2007,11,2.8,,.0,8,.0,8,6.2,,PL-OP
251150080,GRABIK,2007,12,.9,,.0,8,.0,8,6.1,,PL-OP
251150250,ZGORZELEC,2007,01,4.7,,79.0,,5.5,,6.5,,PL-MA
251150250,ZGORZELEC,2007,02,3.2,,81.7,,3.3,,6.7,,PL-MA
251150250,ZGORZELEC,2007,03,5.7,,80.6,,2.9,,5.2,,PL-MA
251150250,ZGORZELEC,2007,04,10.0,,62.1,,2.1,,3.6,,PL-MA
251150250,ZGORZELEC,2007,05,14.5,,65.9,,2.8,,4.9,,PL-MA
251150250,ZGORZELEC,2007,06,18.4,,69.0,,2.3,,5.5,,PL-MA
251150250,ZGORZELEC,2007,07,18.9,,65.4,,2.9,,5.9,,PL-MA
251150250,ZGORZELEC,2007,08,17.9,,71.1,,2.0,,5.4,,PL-MA
251150250,ZGORZELEC,2007,09,12.7,,75.3,,2.8,,5.8,,PL-MA
251150250,ZGORZELEC,2007,10,7.7,,84.4,,2.3,,5.8,,PL-MA
251150250,ZGORZELEC,2007,11,2.6,,83.5,,3.7,,6.7,,PL-MA
251150250,ZGORZELEC,2007,12,.9,,84.0,,4.4,,6.1,,PL-MA
251160150,POLKOWICE DOLNE,2007,01,4.6,,83.3,,4.4,,5.7,,PL-PK
251160150,POLKOWICE DOLNE,2007,02,2.5,,85.9,,3.2,,6.0,,PL-PK
251160150,POLKOWICE DOLNE,2007,03,6.4,,79.6,,2.9,,5.1,,PL-PK
251160150,POLKOWICE DOLNE,2007,04,10.9,,63.4,,2.8,,3.5,,PL-PK
251160150,POLKOWICE DOLNE,2007,05,15.3,,71.6,,1.8,,4.1,,PL-PK
251160150,POLKOWICE DOLNE,2007,06,19.2,,71.8,,2.2,,4.6,,PL-PK
251160150,POLKOWICE DOLNE,2007,07,18.7,,76.2,,2.7,,.0,8,PL-PK
251160150,POLKOWICE DOLNE,2007,08,18.4,,73.4,,2.3,,4.6,,PL-PK
251160150,POLKOWICE DOLNE,2007,09,12.6,,84.9,,2.9,,5.3,,PL-PK
