Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2014,01,39.5,,9,,10.2,,09,,0,,PL-PK
250160420,PASTERKA,2014,02,15.2,,1,,5.6,,10,,0,,PL-PK
250160420,PASTERKA,2014,03,65.5,,4,,40.8,,23,,0,,PL-PK
250160420,PASTERKA,2014,04,72.6,,3,,14.7,,24,,0,,PL-PK
250160420,PASTERKA,2014,05,180.0,,0,,40.5,,28,,0,,PL-PK
250160420,PASTERKA,2014,06,80.2,,0,,31.8,,25,,0,,PL-PK
250160420,PASTERKA,2014,07,70.3,,0,,15.7,,09,,0,,PL-PK
250160420,PASTERKA,2014,08,63.1,,0,,9.3,,16,,0,,PL-PK
250160420,PASTERKA,2014,09,107.0,,0,,30.2,,21,,0,,PL-PK
250160420,PASTERKA,2014,10,59.8,,0,,25.0,,22,,0,,PL-PK
250160420,PASTERKA,2014,11,18.9,,0,,6.2,,18,,0,,PL-PK
250160420,PASTERKA,2014,12,83.4,,12,,12.9,,24,,0,,PL-PK
251170040,SZELEJEWO,2014,01,34.4,,2,,5.8,,20,,0,,PL-KP
251170040,SZELEJEWO,2014,02,4.3,,0,,1.8,,15,,0,,PL-KP
251170040,SZELEJEWO,2014,03,46.3,,0,,13.4,,23,,0,,PL-KP
251170040,SZELEJEWO,2014,04,46.6,,0,,12.3,,23,,0,,PL-KP
251170040,SZELEJEWO,2014,05,96.5,,0,,21.2,,27,,0,,PL-KP
251170040,SZELEJEWO,2014,06,19.9,,0,,4.6,,24,,0,,PL-KP
251170040,SZELEJEWO,2014,07,83.4,,0,,34.2,,07,,0,,PL-KP
251170040,SZELEJEWO,2014,08,44.1,,0,,23.8,,03,,0,,PL-KP
