region,area,dt/ha,dt
Polska,985621,"28,5",28115962
Dolnośląskie,17913,"29,3",525379
Kujawsko-pomorskie,108181,31,3355273
Lubelskie,82926,"27,2",2255835
Lubuskie,24902,"20,8",517165
Łódzkie,76920,26,1998696
Małopolskie,13404,"26,5",354896
Mazowieckie,135186,"28,6",3862187
Opolskie,20587,"33,2",683082
Podkarpackie,13538,"25,8",348759
Podlaskie,70269,"27,7",1943722
Pomorskie,45134,28,1263323
Śląskie,27102,31,839542
Świętokrzyskie,25160,"24,7",621057
Warmińsko-mazurskie,81770,"30,2",2471003
Wielkopolskie,202739,"29,8",6040419
Zachodniopomorskie,39890,26,1035624
