region,area,dt/ha,dt
Polska,538222,"30,3",16329189
Dolnośląskie,58888,"34,4",2023765
Kujawsko-pomorskie,62494,"33,4",2085672
Lubelskie,23479,"33,1",777128
Lubuskie,16949,"29,7",503995
Łódzkie,7943,"30,5",241935
Małopolskie,2272,"33,1",75269
Mazowieckie,34224,"14,6",499524
Opolskie,50006,"36,3",1813810
Podkarpackie,11813,"23,9",282686
Podlaskie,1998,"29,7",59261
Pomorskie,45955,"27,3",1254841
Śląskie,11840,"31,8",375992
Świętokrzyskie,2374,"26,9",63904
Warmińsko-mazurskie,52698,"24,1",1272639
Wielkopolskie,68686,34,2336724
Zachodniopomorskie,86603,"30,7",2662044
