region,area,dt/ha,dt
Polska,1 318 004,"19,9",26 216 255
Dolnośląskie,37 795,"24,6",930 787
Kujawsko-pomorskie,67 372,"23,4",1 578 667
Lubelskie,81 547,"17,2",1 402 682
Lubuskie,52 288,"17,7",927 384
Łódzkie,166 608,"19,1",3 182 212
Małopolskie,6 631,"20,2",134 074
Mazowieckie,315 365,"17,8",5 620 410
Opolskie,14 349,"24,9",356 584
Podkarpackie,22 632,"19,2",434 624
Podlaskie,94 985,"20,1",1 908 267
Pomorskie,66 589,"20,4",1 360 799
Śląskie,24 533,"18,2",447 230
Świętokrzyskie,37 513,"16,4",614 672
Warmińsko-mazurskie,30 967,"22,8",705 582
Wielkopolskie,212 136,"21,2",4 496 123
Zachodniopomorskie,86 694,"24,4",2 116 158
