region,area,dt/ha,dt
Polska,2 218 093,"39,5",87 714 338
Dolnośląskie,260 859,"46,4",12 111 194
Kujawsko-pomorskie,180 165,"39,7",7 146 963
Lubelskie,264 002,"33,9",8 961 345
Lubuskie,63 069,"37,2",2 343 087
Łódzkie,87 777,"33,2",2 914 305
Małopolskie,104 648,"34,4",3 603 124
Mazowieckie,135 477,"33,7",4 566 983
Opolskie,152 264,"52,7",8 020 051
Podkarpackie,128 230,"30,7",3 941 644
Podlaskie,39 286,"30,4",1 193 720
Pomorskie,132 758,45,5 980 196
Śląskie,62 982,37,2 328 265
Świętokrzyskie,72 974,30,2 191 870
Warmińsko-mazurskie,136 232,"38,7",5 271 002
Wielkopolskie,193 665,"43,8",8 487 515
Zachodniopomorskie,203 705,"42,5",8 653 074
