region,area,dt/ha,dt
Polska,1 157 029,"34,4",39 838 958
Dolnośląskie,83 113,"35,9",2 985 872
Kujawsko-pomorskie,114 311,"33,8",3 861 547
Lubelskie,161 372,"31,1",5 016 730
Lubuskie,36 106,"35,4",1 278 315
Łódzkie,58 820,"32,2",1 893 541
Małopolskie,48 880,"31,9",1 559 813
Mazowieckie,67 039,"26,9",1 801 115
Opolskie,73 201,"44,9",3 287 345
Podkarpackie,26 911,"30,4",818 198
Podlaskie,23 678,"28,4",673 172
Pomorskie,59 649,"34,8",2 074 176
Śląskie,38 224,"31,1",1 188 334
Świętokrzyskie,58 987,"28,5",1 681 708
Warmińsko-mazurskie,52 971,31,1 640 418
Wielkopolskie,168 477,"39,8",6 706 683
Zachodniopomorskie,85 290,"39,5",3 371 991
