region,area,dt/ha,dt
Polska,525 272,"26,9",14 153 971
Dolnośląskie,23 343,"30,2",705 174
Kujawsko-pomorskie,11 842,"30,1",356 440
Lubelskie,73 857,"25,4",1 872 704
Lubuskie,12 583,"27,3",343 450
Łódzkie,31 949,"26,8",855 493
Małopolskie,19 279,"24,2",466 432
Mazowieckie,93 553,"23,5",2 199 413
Opolskie,6 917,"34,5",238 786
Podkarpackie,27 727,"26,2",726 599
Podlaskie,48 350,"25,9",1 250 741
Pomorskie,35 455,"27,8",986 680
Śląskie,12 739,29,369 781
Świętokrzyskie,15 232,"23,2",352 938
Warmińsko-mazurskie,25 921,"28,3",734 572
Wielkopolskie,39 605,"29,9",1 185 566
Zachodniopomorskie,46 920,"32,2",1 509 202
