region,area,dt/ha,dt
Polska,333 328,"71,8",23 920 661
Dolnośląskie,63 201,"74,2",4 690 645
Kujawsko-pomorskie,40 731,"67,2",2 738 134
Lubelskie,16 611,"59,7",991 589
Lubuskie,13 381,"61,9",828 700
Łódzkie,10 191,"71,7",730 901
Małopolskie,14 386,68,978 192
Mazowieckie,26 778,"63,6",1 702 460
Opolskie,40 463,"93,9",3 800 283
Podkarpackie,13 563,"63,4",859 818
Podlaskie,4 556,"57,7",262 984
Pomorskie,3 882,"49,6",192 388
Śląskie,14 075,79,1 111 417
Świętokrzyskie,3 297,"56,6",186 527
Warmińsko-mazurskie,6 963,"60,2",419 023
Wielkopolskie,56 179,"72,5",4 073 484
Zachodniopomorskie,5 073,"69,8",354 116
