region,area,dt/ha,dt
Polska,22 301,"14,9",331 456
Dolnośląskie,743,15,11 115
Kujawsko-pomorskie,906,"19,1",17 309
Lubelskie,425,15,6 373
Lubuskie,7 010,"13,2",92 693
Łódzkie,615,"14,7",9 043
Małopolskie,196,"19,9",3 900
Mazowieckie,2 410,"18,1",43 608
Opolskie,58,20,1 160
Podkarpackie,255,"13,7",3 494
Podlaskie,-,-,-
Pomorskie,1 743,"20,6",35 961
Śląskie,179,"20,7",3 705
Świętokrzyskie,2 732,"22,2",60 672
Warmińsko-mazurskie,296,"6,6",1 963
Wielkopolskie,3 751,"8,5",31 777
Zachodniopomorskie,984,"8,8",8 683
