region,area,dt/ha,dt
Polska,62 710,"13,3",834 987
Dolnośląskie,9 727,"13,9",135 224
Kujawsko-pomorskie,66,"10,2",677
Lubelskie,14 042,14,196 572
Lubuskie,1 593,"11,9",18 967
Łódzkie,901,"12,6",11 324
Małopolskie,120,"17,9",2 151
Mazowieckie,5 844,"12,3",71 810
Opolskie,170,"20,9",3 553
Podkarpackie,2 870,"13,5",38 638
Podlaskie,4 976,"12,2",60 580
Pomorskie,7 766,12,93 519
Śląskie,1 181,"15,8",18 668
Świętokrzyskie,1 395,"16,7",23 302
Warmińsko-mazurskie,4 150,"15,6",64 542
Wielkopolskie,811,"12,2",9 906
Zachodniopomorskie,7 098,"12,1",85 554
