region,area,dt/ha,dt
Polska,300 355,210,63 136 692
Dolnośląskie,21 092,209,4 400 221
Kujawsko-pomorskie,17 273,250,4 326 531
Lubelskie,22 914,214,4 903 665
Lubuskie,5 110,191,976 263
Łódzkie,36 299,188,6 809 544
Małopolskie,25 649,210,5 387 808
Mazowieckie,36 622,180,6 584 406
Opolskie,7 053,233,1 646 076
Podkarpackie,22 106,225,4 972 834
Podlaskie,11 909,163,1 937 168
Pomorskie,17 762,260,4 621 341
Śląskie,7 912,163,1 287 361
Świętokrzyskie,15 418,220,3 391 903
Warmińsko-mazurskie,9 615,192,1 846 748
Wielkopolskie,31 809,202,6 428 557
Zachodniopomorskie,11 812,306,3 616 266
