region,area,dt/ha,dt
Polska,205 572,658,135 237 806
Dolnośląskie,18 752,579,10 865 265
Kujawsko-pomorskie,43 493,622,27 028 793
Lubelskie,36 303,619,22 479 166
Lubuskie,1 430,708,1 012 071
Łódzkie,5 984,552,3 301 441
Małopolskie,1 251,692,865 355
Mazowieckie,12 654,685,8 672 173
Opolskie,14 739,700,10 312 023
Podkarpackie,3 696,780,2 884 007
Podlaskie,72,663,47 751
Pomorskie,9 363,736,6 891 798
Śląskie,2 053,619,1 270 009
Świętokrzyskie,3 632,729,2 648 972
Warmińsko-mazurskie,2 743,606,1 661 575
Wielkopolskie,39 640,694,27 502 184
Zachodniopomorskie,9 767,798,7 795 223
